CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;QT/14;QR/14;QS/14;Punti Totali;Punti Senza Quote;Punti Somma;Punti Differenza;
1;LOOIGI;False;0;0;0;0;0;0;;22,80571;18,61;0,85;2,26;
2;GIGINHO72;False;0;0;0;0;0;0;;19,13643;15,89;1,3;1,79;
3;PIEROGIAN;False;0;0;0;0;0;0;;15,12;13,39;0,8;1,29;
4;OTTIMISTA;False;0;0;0;0;0;0;;11,065;10,21;0,55;2,66;
5;PICCA;False;0;0;0;0;0;0;;30,49429;18,02;1,8;3,12;
6;ERICO;True;0;0;0;0;0;0;;16,03857;12,51;0,95;1,28;
7;DDTUNITED;False;0;0;0;0;0;0;;40,445;22,65;3,55;4,3;
8;MATTEO;False;0;0;0;0;0;0;;13,41214;11,96;0,3;0,96;
9;LOLLO;True;0;0;0;0;0;0;;4,252857;3,89;0,87;0,17;
10;ANGELIDE;True;0;0;0;0;0;0;;8,083571;7,03;0,5;0,68;
11;TRICOLINO;False;0;0;0;0;0;0;;32,26;19,98;3,55;3,33;
12;AURELIANO72;False;0;0;0;0;0;0;;12,83357;9,96;1,8;0,96;
