CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;0;0;0;;0;0;0;;12,08571;12;
2;PIPPETTO;False;0;0;0;;0;0;0;;14,78571;14,7;
3;PIPPOIDE;False;0;0;0;;0;0;0;;15,40857;15,33;
4;PIPPETTUZZO;False;0;0;0;;0;0;0;;16,89286;16,8;
5;PIPPANTE;False;0;0;0;;0;0;0;;13,15;13,1;
6;PIPPOCCHIO;False;0;0;0;;0;0;0;;17,41571;17,33;
7;PIPPASTILICCHIO;False;0;0;0;;0;0;0;;15,67143;15,6;
8;PIPPLICO;False;0;0;0;;0;0;0;;17,19286;17,1;
9;PIPPAZZIO;False;0;0;0;;0;0;0;;15,67143;15,6;
10;PIPPECCIO;False;0;0;0;;0;0;0;;19,4;19,3;
