CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;0;0;0;;0;0;0;;12,06429;12;
2;DUE;False;0;0;0;;0;0;0;;12,05714;12;
3;TRE;False;0;0;0;;0;0;0;;4,021429;4;
4;QUATTRO;False;0;0;0;;0;0;0;;13,27143;13,2;
5;CINQUE;False;0;0;0;;0;0;0;;16,07143;16;
6;SEI;False;0;0;0;;0;0;0;;11,05;11;
7;SETTE;False;0;0;0;;0;0;0;;16,57857;16,5;
8;OTTO;False;0;0;0;;0;0;0;;15,07143;15;
9;NOVE;False;0;0;0;;0;0;0;;13,55714;13,5;
10;DIECI;False;0;0;0;;0;0;0;;15,07857;15;
