CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;0;0;0;;0;0;0;;12,90857;12,83;
2;DUE;False;0;0;0;;0;0;0;;11,66429;11,6;
3;TRE;False;0;0;0;;0;0;0;;8,872857;8,83;
4;QUATTRO;False;0;0;0;;0;0;0;;13,67143;13,6;
5;CINQUE;False;0;0;0;;0;0;0;;11,88;11,83;
6;SEI;False;0;0;0;;0;0;0;;12,06429;12;
7;SETTE;False;0;0;0;;0;0;0;;11,07143;11;
8;OTTO;False;0;0;0;;0;0;0;;13,16429;13,1;
9;NOVE;False;0;0;0;;0;0;0;;18,29286;18,2;
10;DIECI;False;0;0;0;;0;0;0;;13,17143;13,1;
