CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;0;0;0;;0;0;0;;13,57143;13,5;
2;DUE;False;0;0;0;;0;0;0;;10,35;10,3;
3;TRE;False;0;0;0;;0;0;0;;14,55714;14,5;
4;QUATTRO;False;0;0;0;;0;0;0;;12,86429;12,8;
5;CINQUE;False;0;0;0;;0;0;0;;19,92286;19,83;
6;SEI;False;0;0;0;;0;0;0;;8,542857;8,5;
7;SETTE;False;0;0;0;;0;0;0;;13,48714;13,43;
8;OTTO;False;0;0;0;;0;0;0;;16,50857;16,43;
9;NOVE;False;0;0;0;;0;0;0;;9,88;9,83;
10;DIECI;False;0;0;0;;0;0;0;;14,51571;14,43;
