CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;0;0;0;;0;0;0;;10,76429;10,7;
2;DUE;False;0;0;0;;0;0;0;;11,05714;11;
3;TRE;False;0;0;0;;0;0;0;;11,89429;11,83;
4;QUATTRO;False;0;0;0;;0;0;0;;10,76429;10,7;
5;CINQUE;False;0;0;0;;0;0;0;;13,98714;13,93;
6;SEI;False;0;0;0;;0;0;0;;8,535714;8,5;
7;SETTE;False;0;0;0;;0;0;0;;9,642858;9,6;
8;OTTO;False;0;0;0;;0;0;0;;9,38;9,33;
9;NOVE;False;0;0;0;;0;0;0;;8,55;8,5;
10;DIECI;False;0;0;0;;0;0;0;;8,358571;8,33;
