CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;0;0;0;;0;0;0;;9,042857;9;
2;PIPPETTO;False;0;0;0;;0;0;0;;11,26429;11,2;
3;PIPPOIDE;False;0;0;0;;0;0;0;;11,56429;11,5;
4;PIPPETTUZZO;False;0;0;0;;0;0;0;;8,05;8;
5;PIPPANTE;False;0;0;0;;0;0;0;;20,09286;20;
6;PIPPOCCHIO;False;0;0;0;;0;0;0;;13,40143;13,33;
7;PIPPASTILICCHIO;False;0;0;0;;0;0;0;;12,89429;12,83;
8;PIPPLICO;False;0;0;0;;0;0;0;;10,55;10,5;
9;PIPPAZZIO;False;0;0;0;;0;0;0;;14,57143;14,5;
10;PIPPECCIO;False;0;0;0;;0;0;0;;6,128572;6,1;
